description,dataType,calories,protein_g,carbs_g,fat_g,fiber_g,Cluster,meal_type
"100% MANGO FRUIT JUICE BLEND, MANGO",Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% MANGO JUICE,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% MANGO JUICE,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% MANGO JUICE BLEND FROM PUREE AND CONCENTRATE, MANGO",Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% MAPLE SYRUP, 100% MAPLE",Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% MARANON CACAO WITH PISTACHIOS & DATES, PISTACHIO & DATE",Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% MASHED AVOCADO,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% MEDITERRANEAN BLEND OLIVE OIL, EXTRA VIRGIN",Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% MEDLEY OF FRUITS GUAVA, PINEAPPLE & OTHER FRUIT JUICE BLEND, MEDLEY OF FRUITS",Branded,305.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% MEGA GREEN JUICE BLEND FROM FIVE JUICE CONCENTRATES, MEGA GREEN",Branded,333.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% MILK CHOCOLATE,Branded,50.0,0.42,12.5,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% MINI LIGHT REAL SEMISOFT CHEESE + CRACKERS, CHEESE & CRACKERS",Branded,51.0,0.0,12.7,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% MIXED BERRY JUICE,Branded,42.0,0.42,10.0,0.0,0.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% Mozzarella, 1.93 oz, CN",Branded,48.0,0.72,11.4,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% MUSCADINE JUICE,Branded,50.0,0.0,12.1,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% MUSCADINE JUICE, MUSCADINE",Branded,46.0,0.0,10.7,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL & PURE HONEY,Branded,50.0,0.0,12.5,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL 0 CALORIE SWEETENER, MONK FRUIT & STEVIA BLEND",Branded,46.0,0.83,10.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL APPLEWOOD SMOKED DELI TURKEY, APPLEWOOD SMOKED",Branded,46.0,0.83,10.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL ARTISAN PRESERVES, APRICOT",Branded,51.0,0.42,12.3,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL AUTHENTIC SEA SALT & VINEGAR WHOLESOME SNACKS!, SEA SALT & VINEGAR",Branded,50.0,0.42,12.1,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL BEEF BROTH,Branded,50.0,0.42,12.1,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL BOURBON BARREL SMOKED CRACKED BLACK PEPPER CHEDDAR, PEPPER CHEDDAR",Branded,50.0,0.0,15.4,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL BROCCOLI FLORETS,Branded,46.0,0.42,10.4,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL BROTH CHICKEN, CHICKEN",Branded,143.0,20.5,0.0,7.14,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"100% NATURAL BROTH, FISH",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL CAFFEINE & FLAVORS LIME ENERGY DRINK, LIME",Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL CALIFORNIA RAISINS,Branded,0.0,0.0,0.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL CALIFORNIA RAISINS,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL CALIFORNIA RAISINS,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% NATURAL CALIFORNIA RAISINS, PLUMP & SWEET",Branded,367.0,0.0,90.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL CANE SUGAR,Branded,367.0,0.0,90.0,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL CAROB,Branded,367.0,0.0,90.0,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% NATURAL CHEDDAR CHEESE WITH BUFFALO WING SPICES, BUFFALO WING",Branded,367.0,0.0,90.0,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% NATURAL CHEDDAR CHEESE WITH CRANBERRIES AND CHIPOTLE PEPPERS, CRANBERRY CHIPOTLE CHEDDAR",Branded,333.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% NATURAL CHEDDAR CHEESE WITH JALAPENO, CHIPOTLE AND HABANERO PEPPERS, THREE PEPPER MARBLE CHEDDAR",Branded,367.0,0.0,90.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% NATURAL CHEDDAR CHEESE WITH TOASTED ONION AND CHIVE, TOASTED ONION 'N CHIVE",Branded,350.0,0.0,88.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% NATURAL CHEDDAR STICK CHEESE, CHEDDAR",Branded,350.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL CHEESE,Branded,333.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL CHEESE,Branded,350.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% NATURAL CHERRY POMEGRANATE SELTZER, CHERRY POMEGRANATE",Branded,350.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL CHICKEN BONE  BROTH,Branded,350.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL CHICKEN BREAST IN WATER WITH RIB MEAT,Branded,367.0,0.0,90.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL CHICKEN BREAST WITH RIB MEAT IN BROTH,Branded,350.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL CHICKEN BROTH,Branded,350.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL CHICKEN BROTH,Branded,350.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL CHICKEN BROTH,Branded,333.0,0.0,88.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL CHICKEN BROTH,Branded,333.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% NATURAL CHICKEN BROTH, CHICKEN",Branded,350.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% NATURAL CHICKEN STOCK, CHICKEN",Branded,300.0,0.0,73.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL CHIPOTLE LIME,Branded,333.0,0.0,88.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL COCONUT CHIPS,Branded,350.0,0.0,88.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL COCONUT OIL,Branded,367.0,0.0,90.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL COCONUT OIL,Branded,350.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL COCONUT WATER,Branded,333.0,0.0,88.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL COCONUT WATER,Branded,333.0,0.0,88.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL COCONUT WATER,Branded,350.0,0.0,88.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL COCONUT WATER,Branded,333.0,0.0,88.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL COCONUT WATER,Branded,333.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL COCONUT WATER WITH PULP,Branded,367.0,0.0,90.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL CORN ON THE COB,Branded,367.0,0.0,90.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL CRACKER CUTS CHEESE,Branded,283.0,0.0,68.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% NATURAL CRUNCHY GRANOLA BARS, OATS AND HONEY",Branded,333.0,0.0,90.0,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% NATURAL CRUNCHY PEANUT BUTTER, CRUNCHY",Branded,367.0,0.0,93.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL CRUSTING RUB,Branded,367.0,0.0,93.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL CRUSTING RUB,Branded,350.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL DICED TOMATOES,Branded,333.0,0.0,90.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL FALAFEL,Branded,367.0,0.0,86.7,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL FALAFEL SLIDERS,Branded,367.0,0.0,86.7,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% NATURAL FLAVOR ICE CREAM, VANILLA FUDGE",Branded,350.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% NATURAL FLAVORED BERRY PUNCH FRUIT JUICE, BERRY PUNCH",Branded,367.0,0.0,86.7,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL FRESH CACTUS,Branded,367.0,0.0,93.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL FRESH FROZEN CUT OKRA,Branded,333.0,0.0,90.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL FRUIT CORNUCOPIA,Branded,350.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL FRUIT PULP FOR JUICE & SMOOTHIE,Branded,350.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL GARDEN VEGETABLE BROTH,Branded,367.0,0.0,90.0,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL GARDEN VEGETABLE BROTH,Branded,333.0,0.0,12.364999999999998,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL GEFILTE FISH,Branded,367.0,0.0,86.7,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL GEORGIA PEACH SELTZER,Branded,333.0,0.0,88.3,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% NATURAL GINGER CHEWS, ORIGINAL",Branded,360.0,0.0,83.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL GOURMET FRUIT BAR,Branded,79.0,1.43,17.9,0.0,2.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL GRADE A HAMPSHIRE SOUR CREAM, SOUR CREAM",Branded,79.0,1.43,17.9,0.0,2.9,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL GRANOLA CEREAL WITH CRUNCHY OAT CLUSTERS, HONEY & SLICED ALMONDS, 100% NATURAL GRANOLA",Branded,80.0,13.3,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL GRAPE SEED OIL,Branded,0.0,0.0,0.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL GREEN SPLIT PEAS,Branded,113.24,6.0,12.364999999999998,4.42,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL GREEN TEA,Branded,42.0,0.42,10.4,0.0,0.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL HIMALAYAN PINK SALT,Branded,42.0,0.42,10.4,0.0,0.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL HONEY,Branded,46.0,0.0,11.2,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL HONEY,Branded,46.0,0.83,10.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL HONEY CRUNCHY PEANUT BUTTER SPREAD,Branded,46.0,0.83,10.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL HONEY DIJON MUSTARD, HONEY DIJON",Branded,48.0,0.85,11.3,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL HONEY MULTI-GRAIN SLICED SOFT BAGELS, HONEY MULTI-GRAIN",Branded,46.0,0.83,10.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL HONEY MUSTARD, HONEY",Branded,46.0,0.83,10.4,0.21,0.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL INDIVIDUALLY WRAPPED GREEN TEA BAGS,Branded,46.0,0.83,10.8,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL JUICE,Branded,46.0,0.0,11.2,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL JUICE, APPLE",Branded,51.0,0.85,12.3,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL JUICE, APRICOT NECTAR",Branded,48.0,0.72,11.4,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL JUICE, ORANGE",Branded,49.0,0.0,12.3,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL JUICE, POMEGRANATE",Branded,46.0,0.42,11.2,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL JUICE, TROPICAL PUNCH",Branded,46.0,0.42,11.2,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL LEMON LIME SPARKLING WATER + MINERALS, LEMON LIME",Branded,51.0,0.0,12.2,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL LEMONADE,Branded,51.0,0.0,12.2,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL LEMONADE, CHERRY, CHERRY",Branded,51.0,0.85,12.3,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL MANGO,Branded,51.0,0.85,12.3,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL MANGO SLICES,Branded,46.0,0.42,11.2,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL MEXICAN STYLE QUESO FRESCO CHEESE,Branded,50.0,0.83,12.1,0.0,0.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL MILLED LINAZA,Branded,183.0,1.67,45.0,0.0,0.8,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
100% NATURAL MINIS SPRING WATER,Branded,48.0,0.75,11.0,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL MINNESOTA CULTIVATED WILD RICE,Branded,46.0,0.83,10.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL MIXED VEGETABLES,Branded,46.0,0.83,10.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL MONTEREY JACK CHEESE WITH GARLIC AND HERBS, GARLIC 'N HERB",Branded,200.0,1.67,45.0,0.0,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"100% NATURAL MONTEREY JACK CHEESE WITH REAL DILL, JACK 'N DILL",Branded,46.0,0.0,11.2,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL MOZZARELLA  STRING CHEESE,Branded,46.0,0.83,10.8,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL MOZZARELLA STRING CHEESE,Branded,46.0,0.0,11.2,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL MUSHROOM STOCK, MUSHROOM",Branded,52.0,0.83,12.1,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL NUTS + COCOA BRAZIL NUTS BEVERAGE,Branded,183.0,1.67,45.0,0.0,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"100% NATURAL OATMEAL, PB&J",Branded,42.0,0.42,10.4,0.0,0.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL OLD FASHIONED OATMEAL,Branded,46.0,0.83,10.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL ORANGE JUICE,Branded,42.0,0.42,10.4,0.0,0.4,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL ORGANIC CHIA SEEDS,Branded,46.0,0.0,11.2,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL ORIGINAL BRAZIL NUTS BEVERAGE, ORIGINAL",Branded,50.0,0.42,12.1,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL PARMESAN CHEESE, PARMESAN",Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
"100% NATURAL PASTA SAUCE, MUSHROOM",Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL PEARS,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL PEAS & CARROTS,Branded,286.0,0.0,81.0,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL PEAS & CARROTS,Branded,500.0,0.0,85.7,0.0,0.0,0.0,Carb-Dense Balanced Meals — Ideal for Weight Gain
"100% NATURAL PICHUBERRY, PASSION FRUIT, MANGO, PINEAPPLE INFUSION JUICE, PICHUBERRY, PASSION FRUIT, MANGO, PINEAPPLE",Branded,250.0,0.0,62.5,0.0,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"100% NATURAL POMEGRANATE JUICE, POMEGRANATE",Branded,357.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL PREMIUM APPLE CIDER,Branded,350.0,0.0,88.3,0.0,0.8,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL PREMIUM GINGER DRINK,Branded,367.0,0.0,86.7,0.0,0.0,2.0,Protein-Rich Balanced Meals — Ideal for Maintenance
100% NATURAL PREMIUM SELTZER,Branded,41.0,0.82,8.2,0.41,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL PROSCIUTTO WRAPPED MOZZARELLA CHEESE, PROSCIUTTO WRAPPED MOZZARELLA",Branded,225.0,0.0,50.0,0.0,0.0,3.0,High-Protein Energy Meals — Ideal for Maintenance or Muscle Gain
"100% NATURAL PSYLLIUM HUSK, CINNAMON OATMEAL RAISIN",Branded,48.0,0.75,11.0,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL PUMPKIN,Branded,48.0,0.75,11.2,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL QUICK OATS,Branded,46.0,0.83,10.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL RAISINS,Branded,46.0,0.83,10.8,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL RED QUINOA,Branded,46.0,0.83,10.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL RICE VINEGAR,Branded,46.0,0.83,10.8,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SEEDLESS RAISINS,Branded,46.0,0.83,10.8,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SEEDLESS RAISINS,Branded,46.0,0.83,10.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL SELTZER, BLACK CHERRY",Branded,46.0,0.83,10.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL SELTZER, BLUEBERRY TANGERINE",Branded,46.0,0.83,10.8,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL SELTZER, MANGO BERRY",Branded,46.0,0.83,10.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL SELTZER, RUBY RED GRAPEFRUIT",Branded,46.0,0.83,10.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL SELTZER, TART CHERRY & LIME",Branded,46.0,0.83,10.8,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL SELTZER, WATERMELON MARGARITA",Branded,50.0,0.0,12.5,0.0,0.8,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL SELTZER, WINTER CITRUS & BERRY",Branded,76.0,0.0,17.7,0.0,1.3,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL SEMI-SHARP CHEDDAR CHEESE, CHEDDAR",Branded,75.0,0.42,17.9,0.0,1.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SESAME OIL,Branded,48.0,0.75,11.2,0.0,0.0,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SHREDDED LOW-MOISTURE PART-SKIM MOZZARELLA AND SMOKED PROVOLONE PIZZA CHEESE BLEND,Branded,33.0,0.83,8.33,0.0,3.3,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL SHREDDED PARMESAN CHEESE, PARMESAN",Branded,50.0,1.67,10.8,0.0,4.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SOFRIED POWDER,Branded,50.0,1.67,10.8,0.0,4.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
"100% NATURAL SPARKLING WATER, ORANGE GRAPEFRUIT",Branded,36.0,0.8,8.8,0.0,3.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPICE,Branded,33.0,0.83,8.33,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,37.0,0.82,8.2,0.41,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,33.0,0.83,8.33,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,40.0,0.8,8.8,0.0,3.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,42.0,1.67,9.17,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,42.0,1.67,9.17,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,33.0,0.83,8.33,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,33.0,0.83,8.33,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,33.0,0.83,8.33,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,36.0,0.8,8.8,0.0,3.2,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,41.0,0.82,8.2,0.41,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,41.0,0.82,8.2,0.41,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,45.0,2.46,8.2,0.41,4.1,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,41.0,0.82,8.2,0.41,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,41.0,0.82,8.2,0.41,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,33.0,0.83,8.33,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,42.0,1.67,9.17,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,42.0,1.67,9.17,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,33.0,0.83,8.33,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,33.0,0.83,8.33,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,33.0,0.83,8.33,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,33.0,0.83,8.33,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,33.0,0.83,8.33,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
100% NATURAL SPRING WATER,Branded,42.0,1.67,9.17,0.0,2.5,1.0,Low-Calorie Light Foods — Ideal for Weight Loss
